id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
10,ACETYL CYSTEINE,,,,,,,,
11,ACETYL GLUCOSAMINE,,,,,,,,
12,ACETYL GLUTAMIC ACID,,2.7 g/100 mL (20 °C),189.17,1.4119 (rough estimate),C7H11NO5,,"['Ac-Gly', 'N-AC-L-GLU', 'l-glutamicaci', 'N-ACETYL-L-GLU', 'N-Acetylglutamate', 'acetylglutamicacid', 'Acetyl glutamic acid', 'N-Acetyl-L-glutamate', 'N-acetylglutamic acid', 'ACETYL-L-GLUTAMIC ACID', 'Acetyl-L-glutamic acid', 'N-ACETYL-L-GLUTAMIC ACID', 'N-Acetyl-L-glutamic acid', 'L-Glutamic acid, N-acetyl-', 'N-ALPHA-ACETYL-L-GLUTAMIC ACID', '(2S)-2-(acetylamino)pentanedioate']",
13,ACETYL GLUTAMINE,,,,,,,,
14,ACETYL HEXAMETHYL INDAN,,,,,,,,
15,ACETYL HEXAMETHYL TETRALIN,,1.25mg/L at 25°C,258.4,0.96[at 20°C],C18H26O,,"['AHTN', 'Tonalid', 'FIXOLIDE', 'Tonalide', 'NSC 19550', 'CCRIS 8403', 'TONALID(R) II', 'Acetyl hexamethyl tetralin', 'ACETYL HEXAMETHYL TETRALIN', '6-ACETYL-1,1,2,4,4,7-HEXAMETHYLTETRALIN', '6-Acetyl-1,1,2,4,4,7-hexamethyltetralin', '7-Acetyl-1,1,3,4,4,6-hexamethyltetralin', '7-Acetyl-1,1,3,4,4,6-hexamethyltetrahydronaphthalene', '6-Acetyl-1,1,2,4,4,7-hexamethyl-1,2,3,4-tetrahydronaphthalene', '7-Acetyl-1,1,3,4,4,6-hexamethyl-1,2,3,4-tetrahydronaphthalene', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one', '1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one', '1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-ethanon', '1-(3,5,5,6,8,8-hexamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)ethanone', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)ethanone', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethylnaphthalen-2-yl)ethanone', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)ethan- one', '1-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTALENYL)-ETHAN-1-ONE', 'Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-', 'Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)- (VAN) (9CI)']",
16,ACETYL METHIONINE,,,,,,,,
17,ACETYL TYROSINE,,2.91e-2,223.228,1.32,C11H13NO4,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,"Acetyl Tyrosine,acetyl tyrosine,ACETYL TYROSINE","Skin Conditioning Agent,skin conditioning,tanning,skin-conditioning agent - miscellaneous"
18,ACETYLATED SUCROSE DISTEARATE,,6.10,686.833,1.77,C32H62O15,CC(O)=O.CCCCCCCCCCCCCCCCCC(O)=O.OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,"['ACETYLATED SUCROSE DISTEARATE', '.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, acetate dioctadecanoate', 'aceticacid,(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol,octadecanoicaci', 'acetic acid,(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol,octadecanoic acid']","emollient,skin conditioning"
19,ACHILLEA MILLEFOLIUM OIL,,,,,,,,
20,ACID BLACK 1,,10 g/L (25 °C),596.52,1.05g/mLat 20°C,C22H17N6NaO9S2,[Na+].[Na+].NC1=C(N=NC2=CC=C(C=C2)[N+]([O-])=O)C(=CC2=CC(=C(N=NC3=CC=CC=C3)C(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O,"['CI 20470', 'C.I. 20470', 'Acid Black 1', 'Amido Schwarz', 'Amido Black 10B', 'C.I. Acid Black 1', 'Aniline Blue Black', 'NAPHTHOL BLACK 12B', 'NAPHTHOL BLUE BLACK', 'NAPHTHALENE BLACK B', 'Acid Black 1 (C.I.)', 'Naphthol Blue Black', 'Acid Black 2 (20470)', 'NAPHTHOL BLUE BLACK B', 'NAPHTHALENE BLACK 10B', 'NAPHTHALENE BLACK 12B', 'Naphthalene black 10B', 'PONTACYL BLUE BLACK SX', 'C.I. Acid Black 1 (7CI)', 'Naphthaleneblackamidoschwarz', 'C.I. Acid Black 1, disodium salt', 'C.I. Acid Black 1, disodium salt (8CI)', 'amido black staining solution*electrophoresis rea', '2,7-naphthalenedisulfonicacid,4-amino-5-hydroxy-3-[(4-nitrophenyl)azo]-6-(phe', '4-Amino-5-hydroxy-3-(p-nitrophenylazo)-6-(phenylazo)-2,7-naphthalenedisulfonic aci', 'sodium 4-amino-5-hydroxy-3-(4-nitrophenylazo)-6-(phenylazo)naphthalene-2,7-disulphonate', 'disodium 4-amino-5-hydroxy-3-[(E)-(4-nitrophenyl)diazenyl]-6-[(E)-phenyldiazenyl]naphthalene-2,7-disulfonate', 'disodium (3Z)-5-amino-6-[(E)-(4-nitrophenyl)diazenyl]-4-oxo-3-(2-phenylhydrazinylidene)-3,4-dihydronaphthalene-2,7-disulfonate']","colorant,cosmetic colorant"
21,ACID BLACK 52,,0.931,1488.13,1.64g/cm3,C60H36Cr2N9Na3O21S3,[Na+].[Na+].[Na+].[Cr].[Cr].OC1=CC=C2C=CC=CC2=C1\N=N\C1=C2C=CC(=CC2=C(C=C1O)S([O-])(=O)=O)[N+]([O-])=O.OC1=CC=C2C=CC=CC2=C1\N=N\C1=C2C=CC(=CC2=C(C=C1O)S([O-])(=O)=O)[N+]([O-])=O.OC1=CC=C2C=CC=CC2=C1\N=N\C1=C2C=CC(=CC2=C(C=C1O)S([O-])(=O)=O)[N+]([O-])=O,"['CI 15711', 'C.I. 15711', 'abcolblackwa', 'Acid black 52', 'Acid Black  52', 'C.I.AcidBlack52', 'C.I. Acid Black 52', 'Acid Black 52 (15711)', 'Palatine Fast Black WAN', 'PALATINE FAST BLACK WAN', '3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitro-naphthalene-1-sulfonic acid', 'sodium 3-hydroxy-4-(2-hydroxy-1-naphthylazo)-7-nitronaphthalene-1-sulphonate', 'chromate(3-),bis(3-hydroxy-4-((2-hydroxy-1-naphthalenyl)azo)-7-nitro-1-naphtha', '4-[(2-hydroxynaphthalen-1-yl)hydrazono]-7-nitro-3-oxo-3,4-dihydronaphthalene-1-sulfonate', '3-Hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]-7-nitro-1-naphthalenesulfonicacid,monosodiumsalt,chromiumcomplex']",hair dyeing
22,ACID BLUE 1,,4.53e-4,566.66,1.61,C37H29N3O6S2.Na,[Na+].CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=CC=C(C=C1S([O-])(=O)=O)S([O-])(=O)=O,"['XYLENE BLUE', 'PATENT BLUE', 'ACID BLUE 1', 'SULPHAN BLUE', 'PATENT BLUE V', 'PATENT BLUE VIOLET', 'PATENT BLUE V SODIUM SALT', 'PATENT BLUE VF SODIUM SALT', 'PATENT BLUE V (VF) SODIUM SALT']","hair dyeing,cosmetic colorant"
23,ACID BLUE 3,,Soluble in water,566.66,Not found,C27H31N2NaO6S2,[Ca++].CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=CC(O)=C(C=C1S([O-])(=O)=O)S([O-])(=O)=O.CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=CC(O)=C(C=C1S([O-])(=O)=O)S([O-])(=O)=O,"['Acidblue', 'ACID BLUE', 'ACID BLUE 3', 'Acid Blue 1', 'ACID 14030 BLUE 9', 'ACID BLUE 1 SODIUM SALT', 'ACID BLUE 3 SODIUM SALT', 'Alphazurine GBrilliant Acid BlueCarmine Blue VPatent Blue VXylene BlueAzure Blue VX', '4-{[4-(diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-3-sulfobenzenesulfonate', '2-{[4-(Diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-5-sulfobenzenesulfonate', '4-[[4-(diethylamino)phenyl]-(4-diethyliminiocyclohexa-2,5-dien-1-ylidene)methyl]-3-sulfo-benzenesulfonate', '4-[[4-(diethylamino)phenyl]-(4-diethylazaniumylidenecyclohexa-2,5-dien-1-ylidene)methyl]-3-sulfo-benzenesulfonate', 'ethanaminium, N-[4-[[4-(diethylamino)phenyl](2,4-disulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, inner salt']","colourant,dye,hair dyeing,cosmetic colorant"
24,ACID BLUE 9,,1000g/L at 24.3°C,765.91,1.1666 (rough estimate),C37H39N3O9S3,[NH4+].[NH4+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC=CC(=C1)S([O-])(=O)=O)C1=C(C=CC=C1)S([O-])(=O)=O,"['E133', 'C.I. 42090', 'Acid blue 9', 'Food Blue 2', 'CI NO 42090', 'Acid Blue EA', 'ERIOGLAUCINE', 'ERIOGLAUCIN A', 'ERIOGLAUCINE A', 'C.I.Acid Blue 9', 'C.I. Acid Blue 9', 'C.I. Direct Brown 78', 'INTRACID PURE BLUE L', 'LAKE BRILLIANT BLUE FCF', 'ERIOGLAUCINE SODIUM SALT', 'C.I. Acid Blue 9, diammonium salt', 'C.I. Direct Brown 78, Diammonium Salt', 'C.I. Acid Blue 9, diammonium salt (8CI)', 'N-{(1Z,4Z)-4-[{4-[ethyl(3-sulfobenzyl)amino]phenyl}(2-sulfophenyl)methylidene]cyclohexa-2,5-dien-1-ylidene}-N-(3-sulfobenzyl)ethanaminium', 'diammonium 2-[(Z)-{4-[ethyl(3-sulfonatobenzyl)amino]phenyl}{(4Z)-4-[ethyl(3-sulfonatobenzyl)iminio]cyclohexa-2,5-dien-1-ylidene}methyl]benzenesulfonate']","colorant,cosmetic colorant,hair dyeing,dye"
25,ACID BLUE 62,,,,,,,,
26,ACID BLUE 74,,1 g/100 mL (25°C),466.35,1.01 g/mL at 20 °C,C16H8N2Na2O8S2,[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2NC(C(=O)C2=C1)=C1NC2=CC=C(C=C2C1=O)S([O-])(=O)=O,"['E 132', 'C.I. 75781', 'Acid Blue 74', 'Indigo Carmine', 'C.I. Food Blue 1', 'C.I. Acid Blue 74', 'C.I. Natural Blue 2', 'C.I. Food Blue 1, disodium salt', 'disodium 5,5-indigodisulphonate', 'Indigotindisulfonate Sodium [USAN]', '5,5-Indigodisulfonic acid, disodium salt', 'Indigo-5,5-disulphonic acid disodium salt', 'disodium (2E)-3,3-dioxo-1,1,3,3-tetrahydro-2,2-biindole-5,5-disulfonate', 'disodium 5,5-(2-(1,3-dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one)disulphonate', '1H-indole-5-sulfonic acid, 2-(1,3-dihydro-3-oxo-5-sulfo-2H-indol-2-ylidene)-2,3-dihydro-3-oxo-, disodium salt, (2E)-']","color additive,cosmetic colorant,hair dyeing"
27,ACID BROWN 13,,1.21,876.79,1.63,C36H26N6Na2O12S3,[Na+].[Na+].[O-][N+](=O)C1=CC(=CC=C1NC1=CC(=C(NC2=CC=CC=C2)C=C1)S([O-])(=O)=O)S(=O)(=O)C1=CC=C(NC2=CC(=C(NC3=CC=CC=C3)C=C2)S([O-])(=O)=O)C(=C1)[N+]([O-])=O,acid brown 13,hair dyeing
28,ACID GREEN 1,,30 mg/mL,832.47,,C30H15FeN3NaO15S3(-2),,"['C.I. 10020', 'dandcgreen1', 'Acid Green 1', 'naptholgreenb', 'Naphthol Green B', 'extdandcgreenno.1', 'C.I. Acid Green 1', 'c.i.pigmentgreen12', 'abcolnaptholgreenb', 'Naphthol Green B ACS', 'C.I. Pigment Green 12', 'C.I. Acid Green 1 (VAN)', 'Acid green 1 (C.I. 10020)', 'Naphthol Green B, Reagent', 'naphthol green B (C.I. 10020)', '5-nitroso-6-oxidonaphthalene-2-sulfonate', 'ferrate(3-),tris(5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-)', 'ferrate(3-),tris[5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-)', 'Iron, tris(5,6-dihydro-5,6-dioxo-2-naphthalenesulfonic acid 5-oximato)-, trisodium salt', 'Iron,tris[5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato-O5,O6]-,trisodiumsalt', 'Ferrate(3-), tris[5,6-dihydro-5-(hydroxyimino) -6-oxo-2-naphthalenesulfonato(2-)-N5,O6 ]-, trisodium', 'Ferrate(3-), tris5,6-dihydro-5-(hydroxyimino-.kappa.N)-6-(oxo-.kappa.O)-2-naphthalenesulfonato(2-)-, trisodium', 'Ferrate(3-), tris(5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-)-N(sup 5), O(sup 6))-, trisodium']",
29,ACID GREEN 25,,36 g/L (20 °C),602.61,1.61,C28H23N2NaO8S2,[Na+].[Na+].CC1=CC(=C(NC2=C3C(=O)C4=CC=CC=C4C(=O)C3=C(NC3=C(C=C(C)C=C3)S([O-])(=O)=O)C=C2)C=C1)S([O-])(=O)=O,"['C.I. 61570', 'C.I. 61 570', 'Acid Green 25', 'Acid Green  25', 'c.i.acidgreen25', 'Alizarin green, AR', 'C.I. Acid Green 25', 'C.I. 61 570 [Czech]', 'Acid Green 25 (C.I.)', 'Alizarin cyanin green F', 'Alizarin Cyanin Green G', 'Alizarin Cyanine Green F', 'acid green 25 (C.I. 61570)', 'Alizarin Cyanone Green B Extra', 'zelenalizarinovabrilantnig-extra', 'C.I. Acid Green 25 disodium salt', 'disodium 2,2-(anthraquinone-1,4-diimino)bis(5-methylsulphonate)', 'disodium 2,2-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate)']","color additive,colorant,Dye,fragrance component,cosmetic colorant,hair dyeing,dye"
30,ACID GREEN 50,,492.554g/L at 28°C,578.63,0.541[at 20°C],C27H27N2NaO7S2,[Na+].CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C2C=CC(=CC2=CC(=C1O)S([O-])(=O)=O)S([O-])(=O)=O,"['C.I. 44090', '12078green', 'AcidgreenBS', 'Wool Green S', 'WOOL GREEN S', 'ACID GREEN 50', 'Acid green 50', 'LISSAMINE GREEN B', 'acidalwoolgreenbs', 'C.I. Food Green 4', 'Lissamine Green B', 'C.I. Acid Green 50', 'Brilliantsaeuregruen', 'acidbrilliantgreenbs', 'lissamine green B (C.I. 44090)', 'C.I. Acid Green 50, monosodium salt', 'C.I. Acid Green 50, monosodium salt (8CI)', 'sodium 4-{[4-(dimethylamino)phenyl][4-(dimethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-3-hydroxynaphthalene-2,7-disulfonate', '[4-[4-(dimethylamino)-alpha-(2-hydroxy-3,6-disulphonato-1-naphthyl)benzylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium inner salt sodium salt']","cosmetic colorant,hair dyeing"
31,ACID ORANGE 3,,1.87e-3,452.37,1.65,C18H13N4NaO7S,[Na+].[O-][N+](=O)C1=CC(=C(NC2=CC(=C(NC3=CC=CC=C3)C=C2)S([O-])(=O)=O)C=C1)[N+]([O-])=O,"ci acid orange 3,acid orange 3","dye,hair dyeing"
32,ACID ORANGE 6,,Not found,316.26,Not found,C12H9N2NaO5S,[Na+].OC1=CC(O)=C(C=C1)N=NC1=CC=C(C=C1)S([O-])(=O)=O,"acid orange 6,benzenesulfonic acid_ 4-((2_4-dihydroxyphenyl) azo)-_ monosodium salt_ (tropaeolin),Sodium 4 -(2,4-dihydroxyphenylazo)benzenesulphonate,ci 14270","colorant,hair dyeing,cosmetic colorant"
33,ACID ORANGE 7,,116 g/L (30°C),350.32,1.47,C16H11N2NaO4S,[Na+].OC1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C2=CC=CC=C2C=C1,"['Orange â\x85¡', 'C.I. 15510', 'acid orange 7', 'C.I. Acid Orange 7', 'Pigment Orange 17 ', 'Acid Orange II Lake', 'Orange II sodium salt', 'C.I. Acid Orange 7, monosodium salt', 'Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonate', '4-(2-Hydroxy-1-naphthylazo)benzenesulfonic acid sodium salt', 'sodium 4-[(E)-(2-hydroxynaphthalen-1-yl)diazenyl]benzenesulfonate', 'sodium 4-[(2E)-2-(2-oxonaphthalen-1(2H)-ylidene)hydrazino]benzenesulfonate']","color additive,colorant,dye,fragrance component,cosmetic colorant,hair dyeing"
34,ACID ORANGE 24,,Not found,448.43,Not found,C20H17N4NaO5S,"[Na+].C*.CC1=CC=CC=C1N=NC1=C(O)C=CC(N=NC2=CC=C(C=C2)S([O-])(=O)=O)=C1O |c:4,6,11,14,21,23,29,t:2,19,lp:10:1,11:1,14:2,18:1,19:1,27:3,28:2,29:2,31:2,m:2:8.5.7.6|","['CI 20170', 'nosodiumsalt', 'Acid orange 24', 'RESORCIN BROWN', 'RESORCIN BROWN R', 'c.i.acidorange24', 'C.I. Acid Orange 24', 'Acid Orange 24 (C.I.)', 'C.I. Acid Orange 24, monosodium salt', 'sodium 4-(3-xylylazo-2,4-dihydroxyphenylazo)benzenesulfonate', '4-[[3-[(dimethylphenyl)azo]-2,4-dihydroxyphenyl]azo]-benzenesulfonicacimo', 'sodium 4-[3-(2,3-dimethylphenyl)azo-2,4-dihydroxy-phenyl]azobenzenesulfonate', 'sodium 4-[[3-[(2,4-dimethylphenyl)azo]-2,6-dihydroxyphenyl]azo]benzenesulphonate', 'sodium 4-[(2Z)-2-{(5E)-5-[(2,4-dimethylphenyl)hydrazono]-4,6-dioxocyclohex-2-en-1-ylidene}hydrazino]benzenesulfonate', 'sodium,4-[(2Z)-2-[(5E)-5-[(2,4-dimethylphenyl)hydrazinylidene]-4,6-dioxocyclohex-2-en-1-ylidene]hydrazinyl]benzenesulfonate']","color additive,hair dyeing,cosmetic colorant,dye"
35,ACID RED 14,,Soluble in water,502.43,1.63,C20H12N2Na2O7S2,[Na+].[Na+].OC1=C(C=C(C2=C1C=CC=C2)S([O-])(=O)=O)N=NC1=C2C=CC=CC2=C(C=C1)S([O-])(=O)=O,"['Azorubin', 'Carmoisine', 'C.I. 14720', 'Acid Red 14', 'Chromotrope FB', 'C.I. Food Red 3', 'C.I.Acid Red 14', 'C.I. Acid Red 14', 'Acid Red 14 (14720)', 'C.I. Acid Red No. 14', 'C.I. Acid Red 14, disodium salt', 'C.I. Acid Red 14, disodium salt (8CI)', 'disodium 4-[(2Z)-2-(1-oxo-4-sulfonatonaphthalen-2(1H)-ylidene)hydrazino]naphthalene-1-sulfonate']","colorant,fragrance component,cosmetic colorant,hair dyeing"
36,ACID RED 18,,305.21g/L at 20°C,562.51,1.772[at 20°C],C20H15N2NaO10S3,[Na+].[Na+].[Na+].OC1=C(N=NC2=C3C=CC=CC3=C(C=C2)S([O-])(=O)=O)C2=C(C=C(C=C2C=C1)S([O-])(=O)=O)S([O-])(=O)=O,"['C.I. 185', 'SX purple', 'PONCEAU 4R', 'SCARLET 3R', 'Ponceau 4R', 'C.I. 16255', 'NEW COCCINE', 'PONCEAU 4RC', 'New Coccine', 'Acid Red 18', 'Cochineal Red A', 'C.I. Food Red 7', 'Food Red No.102', 'C.I. Acid Red 18', 'C.I. Acid Red 28', 'BRILLIANT PONCEAU', 'Scarlet 3R, Soluble', 'Brilliant scarlet 4R', 'C.I. Acid Red 18 (VAN)', 'Food Red 7 (C.I.16255)', 'SCARLET 3R, WATER SOLUBLE', 'C.I. Acid Red 18, trisodium salt', 'BRILLIANT PONCEAUBRILLIANT PONCEAUBRILLIANT PONCEAU', 'Trisodium 7-hydroxy-8-(4-sulfonato-1-naphthylazo)-1,3-naphthalenedisulfonate', '1-(4-Sulfo-1-naphthylazo)-2-hydroxy-6,8-naphthalenedisulfonic acid trisodium salt', '7-hydroxy-8-[(4-sulfo-1-naphthyl)azo]-1,3-Naphthalenedisulfonic acid, trisodium salt', 'trisodium 7-hydroxy-8-[(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonate', 'trisodium (8Z)-7-oxo-8-[2-(4-sulfonatonaphthalen-1-yl)hydrazinylidene]-7,8-dihydronaphthalene-1,3-disulfonate']","colourant,cosmetic colorant,hair dyeing,colorant,dye"
