id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
41,Acid Red 18,,,604.47,,C20H11N2Na3O10S3,,"C.I. 185C.I. Acid Red 18C.I. 16255C.I. Acid Red 18 (VAN)C.I. Acid Red 18, trisodium salt,C.I. Acid Red 28C.I. Food Red 7C.I. Acid Red 18, trisodium salt,1-(4-Sulfo-1-naphthylazo)-2-hydroxy-6,8-naphthalenedisulfonic acid trisodium salt,7-hydroxy-8-[(4-sulfo-1-naphthyl)azo]-1,3-Naphthalenedisulfonic acid, trisodium salt,Acid Red 18BRILLIANT PONCEAUBrilliant scarlet 4RCochineal Red AFood Red No.102Ponceau 4RScarlet 3R, Soluble,SX purpleTrisodium 7-hydroxy-8-(4-sulfonato-1-naphthylazo)-1,3-naphthalenedisulfonate,trisodium 7-hydroxy-8-[(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonate,trisodium (8Z)-7-oxo-8-[2-(4-sulfonatonaphthalen-1-yl)hydrazinylidene]-7,8-dihydronaphthalene-1,3-disulfonate,",
42,Acid Red 27,,50 g/L (20???),604.47,,C20H11N2Na3O10S3,,"C.I. 16185C.I. Acid Red 27C.I. Acid Red 27, trisodium salt,C.I. Food Red 9C.I. Acid Red 27, trisodium salt (8CI),AmaranthAcid Red 27amaranth (C.I. 16185)amarantheAcid Red 27 (C.I.)trisodium 3-hydroxy-4-(4-sulphonato-1-naphthylazo)naphthalene-2,7-disulphonate,E 123Amaranth redtrisodium (4Z)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate,trisodium (4E)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate,trisodium 3-hydroxy-4-[(E)-(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-2,7-disulfonate,acid red 27",
43,Acid Red 33,,,433.337,,C17H11F3N3NaO4S,,"C.I. Acid Red 3372-Naphthalenesulfonic acid, 6-amino-4-hydroxy-5-(2-(2-,5-((2-Trifluoromethylphenyl)azo)-6-amino-4-hydroxy-2-naphthalenesulfonic acid, sodium salt,6-Amino-4-hydroxy-5-((2-(trifluoromethyl)phenyl)azo)-2-naphthalenesulfonic acid, sodium salt,6-Amino-4-hydroxy-5-((alpha,alpha,alpha-trifluoro-o-tolyl)azo)-2-naphthalenesulfonic acid, monosodium salt,EINECS 267-090-32-Naphthalenesulfonic acid, 6-amino-4-hydroxy-5-((2-(trifluoromethyl)phenyl)azo)-, monosodium salt,Sodium 6-amino-4-hydroxy-5-((2-(trifluoromethyl)phenyl)azo)naphthalene-2-sulphonatesodium (6E)-6-imino-4-oxo-5-{2-[2-(trifluoromethyl)phenyl]hydrazino}-4,6-dihydronaphthalene-2-sulfonate,sodium 6-amino-4-hydroxy-5-[2-(trifluoromethyl)phenyl]azo-naphthalene-2-sulfonate",
44,Acid Red 35,,,,,,,Acid Red 350,
45,Acid Red 52,,,580.65,,C27H29N2NaO7S2,,"C.I. 45100C.I. Acid Red 52Acid red 52sulforhodamine B monosodium saltsulforhodamine B cell culture testedsulforhodamine BSulforhodamine??? sodium saltSulforhodamine???Acid Red 52sodium 4-[6-(diethylamino)-3-(diethyliminio)-3H-xanthen-9-yl]benzene-1,3-disulfonate,",
46,Acid Red 73,,Soluble in water,556.48,,C22H14N4Na2O7S2,,"Acid Red GRC.I. 27290C.I. Acid Red 73C.I. Acid Red 73, disodium salt,C.I. Acid Red 73, disodium salt,Acid red 73Crocein Scarlet MOObrilliant crocein moo (C.I. 27290)sodium 6-hydroxy-5-(4-phenylazophenylazo)naphthalene-2,4-disulphonate,brillant crocein MOOBrilliant Crocein MOOAcid Red 737-oxo-8-({4-[(E)-phenyldiazenyl]phenyl}hydrazono)-7,8-dihydronaphthalene-1,3-disulfonate,disodium 7-hydroxy-8-[(E)-{4-[(E)-phenyldiazenyl]phenyl}diazenyl]naphthalene-1,3-disulfonate,disodium (8Z)-7-oxo-8-(2-{4-[(E)-phenyldiazenyl]phenyl}hydrazinylidene)-7,8-dihydronaphthalene-1,3-disulfonate,Acid Red 73",
47,Acid Red 92,,,829.63,,C20H2Br4Cl4Na2O5,,"C.I. 45410C.I. Acid Red 92D & C Red no. 28Acid Red 92Cyanosine3,4,5,6-tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3-oxoxanthen-9-yl)benzoic acid,Eosin BluePhloxin BPhloxime Bdisodium 2,3,4,5-tetrachloro-6-(2,4,5,7-tetrabromo-6-oxido-3-oxo-3H-xanthen-9-yl)benzoate,",
48,Acid Red 95,,,,,,,,
49,Acid Red 195,,,,,,,,
50,Acid Violet 9,,,612.63,,C34H25N2NaO6S,,,
51,Acid Violet 9,,,612.63,,C34H25N2NaO6S,,,
52,Acid Violet 43,,,431.39,,C21H14NNaO6S,,"C.I. 60730C.I. Acid Violet 43Acid violet 43Acid Violet 43sodium 2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-5-methylbenzenesulfonate,2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-5-methylbenzenesulfonic acid,",
53,Acid Yellow 1,,,358.19,,C10H4N2Na2O8S,,"C.I. 10316C.I. Acid Yellow 1C.I. Food Yellow 1Acid yellow 15,7-Dinitro-8-hydroxy-2-naphthalenesulfonic acid, disodium salt,Naphthol Yellow S sodium saltnaphthol yellow S (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate,NaphtholYellowSsodiumsaltAcid yellow 1 (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulfonate,(2,4-dinitro-7-sodiooxysulfonyl-1-naphthyl)oxysodium,",
54,Acid Yellow 1,,,358.19,,C10H4N2Na2O8S,,"C.I. 10316C.I. Acid Yellow 1C.I. Food Yellow 1Acid yellow 15,7-Dinitro-8-hydroxy-2-naphthalenesulfonic acid, disodium salt,Naphthol Yellow S sodium saltnaphthol yellow S (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate,NaphtholYellowSsodiumsaltAcid yellow 1 (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulfonate,(2,4-dinitro-7-sodiooxysulfonyl-1-naphthyl)oxysodium,",
55,Acid Yellow 1,,,358.19,,C10H4N2Na2O8S,,"C.I. 10316C.I. Acid Yellow 1C.I. Food Yellow 1Acid yellow 15,7-Dinitro-8-hydroxy-2-naphthalenesulfonic acid, disodium salt,Naphthol Yellow S sodium saltnaphthol yellow S (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate,NaphtholYellowSsodiumsaltAcid yellow 1 (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulfonate,(2,4-dinitro-7-sodiooxysulfonyl-1-naphthyl)oxysodium,",
56,Acid Yellow 1,,,358.19,,C10H4N2Na2O8S,,"C.I. 10316C.I. Acid Yellow 1C.I. Food Yellow 1Acid yellow 15,7-Dinitro-8-hydroxy-2-naphthalenesulfonic acid, disodium salt,Naphthol Yellow S sodium saltnaphthol yellow S (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate,NaphtholYellowSsodiumsaltAcid yellow 1 (C.I. 10316)disodium 5,7-dinitro-8-oxidonaphthalene-2-sulfonate,(2,4-dinitro-7-sodiooxysulfonyl-1-naphthyl)oxysodium,",
57,Acid Yellow 3,,225 g/L (20???),477.375,,C18H9NNa2O8S2,,"C.I. 47005C.I. Acid Yellow 3C.I. Food Yellow 13Quinoline Yellowdisodium 2-(1,3-dioxo-2,3-dihydro-1H-inden-2-yl)quinoline-6,8-disulfonate,",
58,Acid Yellow 23,,260 g/L (30???),534,,C16H9N4Na3O9S2,,"C.I. 640C.I. 19140C.I. Acid Yellow 23C.I. Acid Yellow 23, trisodium salt,C.I. Food Yellow 4C.I. Acid Yellow 23, trisodium salt (VAN) (8CI),Tartrazine4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[(4-sulfophenyl)azo]-1H-Pyrazole-3-carboxylic acid, trisodium salt,Acid Yellow 23Dihydro-5-oxo-1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-1H-pyrazole-3-carboxylic acid, trisodium salt,FD&C Yellow No. 5Filter YellowFood Yellow No.4Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-, trisodium salt,Tartrazine CTartrazine C.I.19140Trisodium 1-(4-sulfonatophenyl)-4-(4-sulfonatophenylazo)-5-pyrazolone-3-carboxylateTrisodium 1-(4-sulfophenyl)-4-((4-sulfophenyl)azo)-1H-pyrazole-3-carboxylatetrisodium (4Z)-5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)hydrazono]-4,5-dihydro-1H-pyrazole-3-carboxylate,trisodium (4E)-5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)hydrazono]-4,5-dihydro-1H-pyrazole-3-carboxylate,trisodium 5-hydroxy-1-(4-sulfonatophenyl)-4-[(E)-(4-sulfonatophenyl)diazenyl]-1H-pyrazole-3-carboxylate",
59,Acrylates Copolymer,,,286.321,,C14H22O6,,ethyl prop-2-enoatemethyl 2-methylprop-2-enoate2-methylprop-2-enoic acid,
60,Acrylates Pvp Copolymer,,,,,,,,
61,Acrylates Va Copolymer,,,,,,,,
62,Adenosine,,,267.244,2.08g/cm3,C10H13N5O4,,adenosine free base6-Amino-9-(beta-D-ribofuranosyl)9H-purine9-alpha-D-lyxofuranosyl-9H-purin-6-amineAR,
63,Adenosine Phosphate,,H2O: with addition of mild alkalisoluble,347.22,,C10H14N5O7P,,"Adenylic acid5-AMPAdenosine-5-monophosphoric acidadenosine phosphate5-Adenylic acidAdenosine 5-monophosphatea5mpadenosine,mono(dihydrogenphosphate)(ester),adenoviteadenylamp(nucleotide)amp[nucleotide]cardiomoneAdenosine-5-monophoshpate9-(5-O-phosphono-alpha-D-lyxofuranosyl)-9H-purin-6-amine",
64,Adenosine Triphosphate,,,551.14,,C10H14N5Na2O13P3,,"5-ATP-Na2Adenosine-5-triphosphate disodium salt hydrate5Adenosinetriphosphoric acid disodium saltATP disodium saltadenosine, 5-(tetrahydrogen triphosphate), monosodium salt,Adenosine-5-triphosphate,disodium salt,ATP,100mM Solution,Adenosine-5-triphosphoric acid disodium saltAdenosine-5-triphosphate disodium saltAdenosine-5-triphosphate disodium saltATP-NA2Adenosine Triphosphate Disodium5-Adenosine triphosphatedisodium salt5-ATP Na2adenosine-5-triphosphate disodium sigma gradeadenosine disodium 5-triphosphate9H-purin-6-amine, 9-[5-O-[hydroxy[[hydroxy(phosphonooxy)phosphinyl]oxy]phosphinyl]pentofuranosyl]-, monosodium salt, monohydrate,Adenosine Triphosphate Disdium saltATPAdenosine disodium triphosphateAdenosine 5-triphosphate disodium saltAdenosine 5-triphosphate disodium",
65,Adipic Acid,,0.5 g/L (20???),92.1384,0.871g/cm3,C7H8,,MethylbenzeneMethacidemethyl-BenzeneMethylbenzolMonomethyl benzenephenyl methaneToltolu-solAdipic acidMethyl benzol,
66,Adipic Acid Dimethylaminohydroxypropyl Diethylenetriamine Copolymer,,,,,,,,
67,Adipic Acid Epoxypropyl Diethylenetriamine Copolymer,,,,,,,,
68,Agar,,SOLUBLE IN HOT WATER,,,(C12H18O9)n,,Agar-AgarGelose,
69,Agarose,,,630.547,1.81g/cm3,C24H38O19,,"Agarose, medium EEO, Molecular Biology Grade,agarose, mixture,Agaroseforelectrophoresisofmacromoleculesagarose for molecular biologyagarose 6 B for chromatographyAgarose LEsepharose(R) 4B for chromatographysepharose(R) 6B for chromatographyAgarose MEAgarose, Molecular Biology Grade,Agarose, ultra,AgaroseplasmaelectrophoresisgradeSepharose?6B5-Chloro-1,3-dimethyladamantane,sepharose(R) cl-6B for chromatographySepharose CL-6Bhigh resolution agarosebeta-D-galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranose,",
70,Agarose,,,630.547,1.81g/cm3,C24H38O19,,"Agarose, medium EEO, Molecular Biology Grade,agarose, mixture,Agaroseforelectrophoresisofmacromoleculesagarose for molecular biologyagarose 6 B for chromatographyAgarose LEsepharose(R) 4B for chromatographysepharose(R) 6B for chromatographyAgarose MEAgarose, Molecular Biology Grade,Agarose, ultra,AgaroseplasmaelectrophoresisgradeSepharose?6B5-Chloro-1,3-dimethyladamantane,sepharose(R) cl-6B for chromatographySepharose CL-6Bhigh resolution agarosebeta-D-galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranose,",
71,Alanine,,166.5 g/L (25???),89.094,,C3H7NO2,,L-alanine-12C32-Aminopropanoic AcidH-Ala-OHL-2-Aminopropionic acidAla2-Amino-Propionic AcidAlanineL-Alpha-Alanine,
72,Alanine,,166.5 g/L (25???),89.094,,C3H7NO2,,L-alanine-12C32-Aminopropanoic AcidH-Ala-OHL-2-Aminopropionic acidAla2-Amino-Propionic AcidAlanineL-Alpha-Alanine,
73,Alanine,,166.5 g/L (25???),89.094,,C3H7NO2,,L-alanine-12C32-Aminopropanoic AcidH-Ala-OHL-2-Aminopropionic acidAla2-Amino-Propionic AcidAlanineL-Alpha-Alanine,
74,Alanine Glutamate,,,,,,,,
75,Alcloxa,,,,,,,,
