id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
10,Acetyl Cysteine,,,,,,,,
11,Acetyl Glucosamine,,,,,,,,
12,Acetyl Glutamic Acid,,2.7 g/100 mL (20 °C),189.17,1.4119 (rough estimate),C7H11NO5,,"['Ac-Gly', 'N-AC-L-GLU', 'l-glutamicaci', 'N-ACETYL-L-GLU', 'N-Acetylglutamate', 'acetylglutamicacid', 'Acetyl glutamic acid', 'N-Acetyl-L-glutamate', 'N-acetylglutamic acid', 'ACETYL-L-GLUTAMIC ACID', 'Acetyl-L-glutamic acid', 'N-ACETYL-L-GLUTAMIC ACID', 'N-Acetyl-L-glutamic acid', 'L-Glutamic acid, N-acetyl-', 'N-ALPHA-ACETYL-L-GLUTAMIC ACID', '(2S)-2-(acetylamino)pentanedioate']",
13,Acetyl Glutamine,,,,,,,,
14,Acetyl Hexamethyl Indan,,,,,,,,
15,Acetyl Hexamethyl Tetralin,,1.25mg/L at 25°C,258.4,0.96[at 20°C],C18H26O,,"['AHTN', 'Tonalid', 'FIXOLIDE', 'Tonalide', 'NSC 19550', 'CCRIS 8403', 'TONALID(R) II', 'Acetyl hexamethyl tetralin', 'ACETYL HEXAMETHYL TETRALIN', '6-ACETYL-1,1,2,4,4,7-HEXAMETHYLTETRALIN', '6-Acetyl-1,1,2,4,4,7-hexamethyltetralin', '7-Acetyl-1,1,3,4,4,6-hexamethyltetralin', '7-Acetyl-1,1,3,4,4,6-hexamethyltetrahydronaphthalene', '6-Acetyl-1,1,2,4,4,7-hexamethyl-1,2,3,4-tetrahydronaphthalene', '7-Acetyl-1,1,3,4,4,6-hexamethyl-1,2,3,4-tetrahydronaphthalene', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one', '1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one', '1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-ethanon', '1-(3,5,5,6,8,8-hexamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)ethanone', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)ethanone', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethylnaphthalen-2-yl)ethanone', '1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)ethan- one', '1-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTALENYL)-ETHAN-1-ONE', 'Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-', 'Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)- (VAN) (9CI)']",
16,Acetyl Methionine,,,,,,,,
17,Acetyl Tyrosine,,,,,,,,
18,Acetylated Sucrose Distearate,,,,,,,"['ACETYLATED SUCROSE DISTEARATE', '.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, acetate dioctadecanoate', 'aceticacid,(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol,octadecanoicaci', 'acetic acid,(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol,octadecanoic acid']",
19,Achillea Millefolium Oil,,,,,,,,
20,Acid Black 1,,10 g/L (25 °C),596.52,1.05g/mLat 20°C,C22H17N6NaO9S2,,"['CI 20470', 'C.I. 20470', 'Acid Black 1', 'Amido Schwarz', 'Amido Black 10B', 'C.I. Acid Black 1', 'Aniline Blue Black', 'NAPHTHOL BLACK 12B', 'NAPHTHOL BLUE BLACK', 'NAPHTHALENE BLACK B', 'Acid Black 1 (C.I.)', 'Naphthol Blue Black', 'Acid Black 2 (20470)', 'NAPHTHOL BLUE BLACK B', 'NAPHTHALENE BLACK 10B', 'NAPHTHALENE BLACK 12B', 'Naphthalene black 10B', 'PONTACYL BLUE BLACK SX', 'C.I. Acid Black 1 (7CI)', 'Naphthaleneblackamidoschwarz', 'C.I. Acid Black 1, disodium salt', 'C.I. Acid Black 1, disodium salt (8CI)', 'amido black staining solution*electrophoresis rea', '2,7-naphthalenedisulfonicacid,4-amino-5-hydroxy-3-[(4-nitrophenyl)azo]-6-(phe', '4-Amino-5-hydroxy-3-(p-nitrophenylazo)-6-(phenylazo)-2,7-naphthalenedisulfonic aci', 'sodium 4-amino-5-hydroxy-3-(4-nitrophenylazo)-6-(phenylazo)naphthalene-2,7-disulphonate', 'disodium 4-amino-5-hydroxy-3-[(E)-(4-nitrophenyl)diazenyl]-6-[(E)-phenyldiazenyl]naphthalene-2,7-disulfonate', 'disodium (3Z)-5-amino-6-[(E)-(4-nitrophenyl)diazenyl]-4-oxo-3-(2-phenylhydrazinylidene)-3,4-dihydronaphthalene-2,7-disulfonate']",
21,Acid Black 52,,,1488.13,1.64g/cm3,C60H36Cr2N9Na3O21S3,,"['CI 15711', 'C.I. 15711', 'abcolblackwa', 'Acid black 52', 'Acid Black  52', 'C.I.AcidBlack52', 'C.I. Acid Black 52', 'Acid Black 52 (15711)', 'Palatine Fast Black WAN', 'PALATINE FAST BLACK WAN', '3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitro-naphthalene-1-sulfonic acid', 'sodium 3-hydroxy-4-(2-hydroxy-1-naphthylazo)-7-nitronaphthalene-1-sulphonate', 'chromate(3-),bis(3-hydroxy-4-((2-hydroxy-1-naphthalenyl)azo)-7-nitro-1-naphtha', '4-[(2-hydroxynaphthalen-1-yl)hydrazono]-7-nitro-3-oxo-3,4-dihydronaphthalene-1-sulfonate', '3-Hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]-7-nitro-1-naphthalenesulfonicacid,monosodiumsalt,chromiumcomplex']",
22,Acid Blue 1,,,566.66,,C37H29N3O6S2.Na,,"['XYLENE BLUE', 'PATENT BLUE', 'ACID BLUE 1', 'SULPHAN BLUE', 'PATENT BLUE V', 'PATENT BLUE VIOLET', 'PATENT BLUE V SODIUM SALT', 'PATENT BLUE VF SODIUM SALT', 'PATENT BLUE V (VF) SODIUM SALT']",
23,Acid Blue 3,,Soluble in water,566.66,,C27H31N2NaO6S2,,"['Acidblue', 'ACID BLUE', 'ACID BLUE 3', 'Acid Blue 1', 'ACID 14030 BLUE 9', 'ACID BLUE 1 SODIUM SALT', 'ACID BLUE 3 SODIUM SALT', 'Alphazurine GBrilliant Acid BlueCarmine Blue VPatent Blue VXylene BlueAzure Blue VX', '4-{[4-(diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-3-sulfobenzenesulfonate', '2-{[4-(Diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-5-sulfobenzenesulfonate', '4-[[4-(diethylamino)phenyl]-(4-diethyliminiocyclohexa-2,5-dien-1-ylidene)methyl]-3-sulfo-benzenesulfonate', '4-[[4-(diethylamino)phenyl]-(4-diethylazaniumylidenecyclohexa-2,5-dien-1-ylidene)methyl]-3-sulfo-benzenesulfonate', 'ethanaminium, N-[4-[[4-(diethylamino)phenyl](2,4-disulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, inner salt']",
24,Acid Blue 9,,1000g/L at 24.3°C,765.91,1.1666 (rough estimate),C37H39N3O9S3,,"['E133', 'C.I. 42090', 'Acid blue 9', 'Food Blue 2', 'CI NO 42090', 'Acid Blue EA', 'ERIOGLAUCINE', 'ERIOGLAUCIN A', 'ERIOGLAUCINE A', 'C.I.Acid Blue 9', 'C.I. Acid Blue 9', 'C.I. Direct Brown 78', 'INTRACID PURE BLUE L', 'LAKE BRILLIANT BLUE FCF', 'ERIOGLAUCINE SODIUM SALT', 'C.I. Acid Blue 9, diammonium salt', 'C.I. Direct Brown 78, Diammonium Salt', 'C.I. Acid Blue 9, diammonium salt (8CI)', 'N-{(1Z,4Z)-4-[{4-[ethyl(3-sulfobenzyl)amino]phenyl}(2-sulfophenyl)methylidene]cyclohexa-2,5-dien-1-ylidene}-N-(3-sulfobenzyl)ethanaminium', 'diammonium 2-[(Z)-{4-[ethyl(3-sulfonatobenzyl)amino]phenyl}{(4Z)-4-[ethyl(3-sulfonatobenzyl)iminio]cyclohexa-2,5-dien-1-ylidene}methyl]benzenesulfonate']",
25,Acid Blue 62,,,,,,,,
26,Acid Blue 74,,1 g/100 mL (25°C),466.35,1.01 g/mL at 20 °C,C16H8N2Na2O8S2,,"['E 132', 'C.I. 75781', 'Acid Blue 74', 'Indigo Carmine', 'C.I. Food Blue 1', 'C.I. Acid Blue 74', 'C.I. Natural Blue 2', 'C.I. Food Blue 1, disodium salt', 'disodium 5,5-indigodisulphonate', 'Indigotindisulfonate Sodium [USAN]', '5,5-Indigodisulfonic acid, disodium salt', 'Indigo-5,5-disulphonic acid disodium salt', 'disodium (2E)-3,3-dioxo-1,1,3,3-tetrahydro-2,2-biindole-5,5-disulfonate', 'disodium 5,5-(2-(1,3-dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one)disulphonate', '1H-indole-5-sulfonic acid, 2-(1,3-dihydro-3-oxo-5-sulfo-2H-indol-2-ylidene)-2,3-dihydro-3-oxo-, disodium salt, (2E)-']",
27,Acid Brown 13,,,,,,,,
28,Acid Green 1,,30 mg/mL,832.47,,C30H15FeN3NaO15S3(-2),,"['C.I. 10020', 'dandcgreen1', 'Acid Green 1', 'naptholgreenb', 'Naphthol Green B', 'extdandcgreenno.1', 'C.I. Acid Green 1', 'c.i.pigmentgreen12', 'abcolnaptholgreenb', 'Naphthol Green B ACS', 'C.I. Pigment Green 12', 'C.I. Acid Green 1 (VAN)', 'Acid green 1 (C.I. 10020)', 'Naphthol Green B, Reagent', 'naphthol green B (C.I. 10020)', '5-nitroso-6-oxidonaphthalene-2-sulfonate', 'ferrate(3-),tris(5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-)', 'ferrate(3-),tris[5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-)', 'Iron, tris(5,6-dihydro-5,6-dioxo-2-naphthalenesulfonic acid 5-oximato)-, trisodium salt', 'Iron,tris[5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato-O5,O6]-,trisodiumsalt', 'Ferrate(3-), tris[5,6-dihydro-5-(hydroxyimino) -6-oxo-2-naphthalenesulfonato(2-)-N5,O6 ]-, trisodium', 'Ferrate(3-), tris5,6-dihydro-5-(hydroxyimino-.kappa.N)-6-(oxo-.kappa.O)-2-naphthalenesulfonato(2-)-, trisodium', 'Ferrate(3-), tris(5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-)-N(sup 5), O(sup 6))-, trisodium']",
29,Acid Green 25,,36 g/L (20 °C),602.61,,C28H23N2NaO8S2,,"['C.I. 61570', 'C.I. 61 570', 'Acid Green 25', 'Acid Green  25', 'c.i.acidgreen25', 'Alizarin green, AR', 'C.I. Acid Green 25', 'C.I. 61 570 [Czech]', 'Acid Green 25 (C.I.)', 'Alizarin cyanin green F', 'Alizarin Cyanin Green G', 'Alizarin Cyanine Green F', 'acid green 25 (C.I. 61570)', 'Alizarin Cyanone Green B Extra', 'zelenalizarinovabrilantnig-extra', 'C.I. Acid Green 25 disodium salt', 'disodium 2,2-(anthraquinone-1,4-diimino)bis(5-methylsulphonate)', 'disodium 2,2-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate)']",
30,Acid Green 50,,492.554g/L at 28°C,578.63,0.541[at 20°C],C27H27N2NaO7S2,,"['C.I. 44090', '12078green', 'AcidgreenBS', 'Wool Green S', 'WOOL GREEN S', 'ACID GREEN 50', 'Acid green 50', 'LISSAMINE GREEN B', 'acidalwoolgreenbs', 'C.I. Food Green 4', 'Lissamine Green B', 'C.I. Acid Green 50', 'Brilliantsaeuregruen', 'acidbrilliantgreenbs', 'lissamine green B (C.I. 44090)', 'C.I. Acid Green 50, monosodium salt', 'C.I. Acid Green 50, monosodium salt (8CI)', 'sodium 4-{[4-(dimethylamino)phenyl][4-(dimethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-3-hydroxynaphthalene-2,7-disulfonate', '[4-[4-(dimethylamino)-alpha-(2-hydroxy-3,6-disulphonato-1-naphthyl)benzylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium inner salt sodium salt']",
31,Acid Orange 3,,,,,,,,
32,Acid Orange 6,,,,,,,,
33,Acid Orange 7,,116 g/L (30°C),350.32,,C16H11N2NaO4S,,"['Orange â\x85¡', 'C.I. 15510', 'acid orange 7', 'C.I. Acid Orange 7', 'Pigment Orange 17 ', 'Acid Orange II Lake', 'Orange II sodium salt', 'C.I. Acid Orange 7, monosodium salt', 'Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonate', '4-(2-Hydroxy-1-naphthylazo)benzenesulfonic acid sodium salt', 'sodium 4-[(E)-(2-hydroxynaphthalen-1-yl)diazenyl]benzenesulfonate', 'sodium 4-[(2E)-2-(2-oxonaphthalen-1(2H)-ylidene)hydrazino]benzenesulfonate']",
34,Acid Orange 24,,,448.43,,C20H17N4NaO5S,,"['CI 20170', 'nosodiumsalt', 'Acid orange 24', 'RESORCIN BROWN', 'RESORCIN BROWN R', 'c.i.acidorange24', 'C.I. Acid Orange 24', 'Acid Orange 24 (C.I.)', 'C.I. Acid Orange 24, monosodium salt', 'sodium 4-(3-xylylazo-2,4-dihydroxyphenylazo)benzenesulfonate', '4-[[3-[(dimethylphenyl)azo]-2,4-dihydroxyphenyl]azo]-benzenesulfonicacimo', 'sodium 4-[3-(2,3-dimethylphenyl)azo-2,4-dihydroxy-phenyl]azobenzenesulfonate', 'sodium 4-[[3-[(2,4-dimethylphenyl)azo]-2,6-dihydroxyphenyl]azo]benzenesulphonate', 'sodium 4-[(2Z)-2-{(5E)-5-[(2,4-dimethylphenyl)hydrazono]-4,6-dioxocyclohex-2-en-1-ylidene}hydrazino]benzenesulfonate', 'sodium,4-[(2Z)-2-[(5E)-5-[(2,4-dimethylphenyl)hydrazinylidene]-4,6-dioxocyclohex-2-en-1-ylidene]hydrazinyl]benzenesulfonate']",
35,Acid Red 14,,Soluble in water,502.43,,C20H12N2Na2O7S2,,"['Azorubin', 'Carmoisine', 'C.I. 14720', 'Acid Red 14', 'Chromotrope FB', 'C.I. Food Red 3', 'C.I.Acid Red 14', 'C.I. Acid Red 14', 'Acid Red 14 (14720)', 'C.I. Acid Red No. 14', 'C.I. Acid Red 14, disodium salt', 'C.I. Acid Red 14, disodium salt (8CI)', 'disodium 4-[(2Z)-2-(1-oxo-4-sulfonatonaphthalen-2(1H)-ylidene)hydrazino]naphthalene-1-sulfonate']",
36,Acid Red 18,,305.21g/L at 20°C,562.51,1.772[at 20°C],C20H15N2NaO10S3,,"['C.I. 185', 'SX purple', 'PONCEAU 4R', 'SCARLET 3R', 'Ponceau 4R', 'C.I. 16255', 'NEW COCCINE', 'PONCEAU 4RC', 'New Coccine', 'Acid Red 18', 'Cochineal Red A', 'C.I. Food Red 7', 'Food Red No.102', 'C.I. Acid Red 18', 'C.I. Acid Red 28', 'BRILLIANT PONCEAU', 'Scarlet 3R, Soluble', 'Brilliant scarlet 4R', 'C.I. Acid Red 18 (VAN)', 'Food Red 7 (C.I.16255)', 'SCARLET 3R, WATER SOLUBLE', 'C.I. Acid Red 18, trisodium salt', 'BRILLIANT PONCEAUBRILLIANT PONCEAUBRILLIANT PONCEAU', 'Trisodium 7-hydroxy-8-(4-sulfonato-1-naphthylazo)-1,3-naphthalenedisulfonate', '1-(4-Sulfo-1-naphthylazo)-2-hydroxy-6,8-naphthalenedisulfonic acid trisodium salt', '7-hydroxy-8-[(4-sulfo-1-naphthyl)azo]-1,3-Naphthalenedisulfonic acid, trisodium salt', 'trisodium 7-hydroxy-8-[(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonate', 'trisodium (8Z)-7-oxo-8-[2-(4-sulfonatonaphthalen-1-yl)hydrazinylidene]-7,8-dihydronaphthalene-1,3-disulfonate']",
37,Acid Red 27,,50 g/L (20 °C),604.47,1.5,C20H11N2Na3O10S3,,"['E 123', 'Amaranth', 'amaranthe', 'C.I. 16185', 'acid red 27', 'javaamaranth', 'Amaranth red', 'Acid Red  27', 'kitonrubines', 'hispacidredam', 'kayakuamaranth', 'C.I. Food Red 9', 'hexacertredno.2', 'C.I. Acid Red 27', 'Acid Red 27 (C.I.)', 'kcafoodcolamarantha', 'amaranth (C.I. 16185)', 'hexacolamaranthbextra', 'kayakufoodcolourredno.2', 'C.I. Acid Red 27, trisodium salt', 'C.I. Acid Red 27, trisodium salt (8CI)', 'trisodium 3-hydroxy-4-(4-sulphonato-1-naphthylazo)naphthalene-2,7-disulphonate', 'trisodium 3-hydroxy-4-[(E)-(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-2,7-disulfonate', 'trisodium (4E)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate', 'trisodium (4Z)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate']",
38,Acid Red 33,,,,,,,,
39,Acid Red 35,,,523.44724,,C19H15N3Na2O8S2,,"['CI 18065', 'Acid red 35', 'Acid pink 3B', 'Acid Red  35', 'C.I. Acid red 35', 'Diacid Supra Red 3B', 'C.1.Acid Red 35(18065)', 'disodium 5-acetamido-4-hydroxy-3-(o-tolylazo)naphthalene-2,7-disulfonate', 'Disodium 5-(Acetylamino)-4-Hydroxy-3-[(O-Tolyl)Azo]Naphthalene-2,7-Disulphonate', 'Disodium 5-(acetylamino)-4-hydroxy-3-((o-tolyl)azo)naphthalene-2,7-disulphonate', 'disodium 5-(acetylamino)-4-hydroxy-3-[(o-tolyl)azo]naphthalene-2,7-disulphonate', '2-(2-Methylphenylazo)-8-acetylamino-1-hydroxynaphthalene-3,6-di(sulfonic acid sodium) salt', '7-naphthalenedisulfonic acid,5-(acetylamino)-4-hydroxy-3-[(2-methylphenyl)azo]-disodium salt', '5-(Acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-2,7-naphthalene- disulfonic acid, disodium salt', '2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-, disodium salt', '2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy- 3-[(2-methylphenyl)azo]-, disodium salt', 'disodium (3E)-5-(acetylamino)-3-[2-(2-methylphenyl)hydrazinylidene]-4-oxo-3,4-dihydronaphthalene-2,7-disulfonate']",
40,Acid Red 52,,95.3g/L at 20°C,580.65,1.472[at 20°C],C27H29N2NaO7S2,,"['C.I. 45100', 'XYLENE RED', 'Acid red 52', 'Kiton Red S', 'XYLENE RED B', 'Acid Red  52', 'SULFORHODAMINE B', 'C.I. Acid Red 52', 'sulforhodamine B', 'KitonRedSC.I.14895', 'PHLOXINE RHODAMINE', 'sulforhodamine b sodium salt', 'SULFORHODAMINE B MONOSODIUM SALT', 'sulforhodamine B monosodium salt', 'sulforhodamine B cell culture tested', 'Xanthylium, 3,6-bis(diethylamino)-9-(2,4-disulfophenyl)-, inner salt, sodium salt', 'sodium 4-[6-(diethylamino)-3-(diethyliminio)-3H-xanthen-9-yl]benzene-1,3-disulfonate']",
41,Acid Red 73,,Soluble in water,556.48,,C22H14N4Na2O7S2,,"['C.I. 27290', 'Acid Red 73', 'Acid Red GR', 'Acid red 73', 'Acid Red  73', 'C.I. Acid Red 73', 'Brilliant Crocein', 'Crocein Scarlet MOO', 'brillant crocein MOO', 'Brilliant Crocein MOO', 'C.I. Acid Red 73, disodium salt', 'brilliant crocein moo (C.I. 27290)', 'sodium 6-hydroxy-5-(4-phenylazophenylazo)naphthalene-2,4-disulphonate', '7-oxo-8-({4-[(E)-phenyldiazenyl]phenyl}hydrazono)-7,8-dihydronaphthalene-1,3-disulfonate', 'disodium 7-hydroxy-8-[(E)-{4-[(E)-phenyldiazenyl]phenyl}diazenyl]naphthalene-1,3-disulfonate', 'disodium (8Z)-7-oxo-8-(2-{4-[(E)-phenyldiazenyl]phenyl}hydrazinylidene)-7,8-dihydronaphthalene-1,3-disulfonate']",
42,Acid Red 92,,,829.63,,C20H2Br4Cl4Na2O5,,"['Cyanosine', 'Phloxin B', 'C.I. 45410', 'Phloxine B', 'Phloxime B', 'Eosin Blue', 'Acid Red 92', 'C.I. Acid Red 92', '3,4,5,6-tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3-oxoxanthen-9-yl)benzoic acid', 'disodium 2,3,4,5-tetrachloro-6-(2,4,5,7-tetrabromo-6-oxido-3-oxo-3H-xanthen-9-yl)benzoate']",
43,Acid Red 95,,,,,,,,
44,Acid Red 195,,,,,,,"['Acid Red 3BA', 'ACID RED 195', 'Acid Pink BE', 'Esgylan Pink EB', 'Navitan Pink EB', 'Dinaiex Red 3BA', 'Chromolan Pink BE', 'Anadurm Pink S-BE']",
45,Acid Violet 9,,,612.63,,C34H25N2NaO6S,,['Acid Violet 9'],
46,Acid Violet 43,,1.708-50.3g/L at 20-28°C,433.41,0.513[at 20°C],C21H16NNaO6S,,"['C.I. 60730', 'SOLWAY PURPLE', 'Acid Violet 43', 'Acid violet 43', 'Acid Violet  43', 'Egacid Violet 3B', 'Aminyl Violet E-3B', 'C.I. Acid Violet 43', 'Brilliant  Violet  R', 'Triacid Light Violet 3B.', 'Suminol Levelling Violet 3B', 'Hastings Light Fast Violet IRS', '2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-5-methylbenzenesulfonic acid', 'sodium 2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-5-methylbenzenesulfonate', 'Benzenesulfonic acid 2-[(9, 10-dihydro-4-hydroxy-9, 10-dioxo-1-anthracenyl) aminol-5-methyl], monosodium salt']",
47,Acid Yellow 1,,,358.19,,C10H4N2Na2O8S,,"['C.I. 10316', 'Acid yellow 1', 'ACID YELLOW 1', 'ACID YELLOW S', 'AMACID YELLOW S', 'NAPHTHOL YELLOW S', 'Naphthol Yellow S', 'C.I. Food Yellow 1', 'C.I. Acid Yellow 1', 'NaphtholYellowSsodiumsalt', 'Acid yellow 1 (C.I. 10316)', 'Naphthol Yellow S sodium salt', 'naphthol yellow S (C.I. 10316)', 'DISODIUM 5,7-DINITRO-8-OXINDONAPHTHALENE ( ACID YE', 'disodium 5,7-dinitro-8-oxidonaphthalene-2-sulfonate', '(2,4-dinitro-7-sodiooxysulfonyl-1-naphthyl)oxysodium', 'disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate', '5,7-DINITRO-8-HYDROXY-2-NAPHTHALENESULFONIC ACID SODIUM SALT', '8-HYDROXY-5,7-DINITRO-2-NAPHTHALENESULFONIC ACID DISODIUM SALT', '5,7-Dinitro-8-hydroxy-2-naphthalenesulfonic acid, disodium salt']",
